n,sum(1/n),log(n)
1,1.0,0.0
10,2.9289682539682538,2.302585092994046
100,5.187377517639621,4.605170185988092
1000,7.485470860550345,6.907755278982137
10000,9.787606036044382,9.210340371976184
100000,12.090146129863427,11.512925464970229
1000000,14.392726722865724,13.815510557964274
10000000,16.69531136585985,16.11809565095832
100000000,18.997896413853898,18.420680743952367
